timestamp,localized,ax,ay,az,gx,gy,gz
1686782915275,2023-06-14T15:48:35.275(UTC-07:00),-2694,5626,-7054,150,-170,35
1686782915285,2023-06-14T15:48:35.285(UTC-07:00),-2721,5650,-7101,148,-169,36
1686782915296,2023-06-14T15:48:35.296(UTC-07:00),-2686,5638,-7055,138,-170,43
1686782915306,2023-06-14T15:48:35.306(UTC-07:00),-2700,5661,-7086,137,-174,37
1686782915317,2023-06-14T15:48:35.317(UTC-07:00),-2689,5639,-7117,128,-173,40
1686782915327,2023-06-14T15:48:35.327(UTC-07:00),-2718,5619,-7103,103,-182,39
1686782915338,2023-06-14T15:48:35.338(UTC-07:00),-2709,5647,-7022,83,-187,34
1686782915348,2023-06-14T15:48:35.348(UTC-07:00),-2683,5578,-7086,64,-203,32
1686782915359,2023-06-14T15:48:35.359(UTC-07:00),-2695,5546,-7159,46,-217,27
1686782915367,2023-06-14T15:48:35.367(UTC-07:00),-2758,5586,-7134,37,-225,24
1686782915377,2023-06-14T15:48:35.377(UTC-07:00),-2674,5592,-7025,43,-224,27
1686782915386,2023-06-14T15:48:35.386(UTC-07:00),-2717,5609,-6975,59,-219,36
1686782915395,2023-06-14T15:48:35.395(UTC-07:00),-2708,5542,-6981,92,-207,35
1686782915404,2023-06-14T15:48:35.404(UTC-07:00),-2714,5615,-6915,120,-195,36
1686782915413,2023-06-14T15:48:35.413(UTC-07:00),-2702,5563,-7028,134,-183,29
1686782915422,2023-06-14T15:48:35.422(UTC-07:00),-2755,5565,-7095,153,-174,27
1686782915431,2023-06-14T15:48:35.431(UTC-07:00),-2708,5606,-7059,163,-174,36
1686782915440,2023-06-14T15:48:35.440(UTC-07:00),-2728,5595,-7118,153,-174,40
1686782915449,2023-06-14T15:48:35.449(UTC-07:00),-2747,5635,-7155,126,-185,49
1686782915458,2023-06-14T15:48:35.458(UTC-07:00),-2706,5608,-7140,92,-186,52
1686782915467,2023-06-14T15:48:35.467(UTC-07:00),-2700,5664,-7092,62,-195,46
1686782915476,2023-06-14T15:48:35.476(UTC-07:00),-2683,5657,-7084,30,-209,28
1686782915485,2023-06-14T15:48:35.485(UTC-07:00),-2726,5652,-7064,16,-220,9
1686782915494,2023-06-14T15:48:35.494(UTC-07:00),-2733,5681,-7050,28,-219,3
1686782915503,2023-06-14T15:48:35.503(UTC-07:00),-2734,5671,-6968,40,-216,-6
1686782915512,2023-06-14T15:48:35.512(UTC-07:00),-2733,5658,-7052,39,-216,-7
1686782915521,2023-06-14T15:48:35.521(UTC-07:00),-2729,5716,-7048,25,-219,-7
1686782915530,2023-06-14T15:48:35.530(UTC-07:00),-2695,5697,-7091,13,-225,-4
1686782915539,2023-06-14T15:48:35.539(UTC-07:00),-2707,5782,-6988,24,-216,19
1686782915549,2023-06-14T15:48:35.549(UTC-07:00),-2693,5644,-7008,23,-212,17
1686782915560,2023-06-14T15:48:35.560(UTC-07:00),-2710,5531,-6996,88,-197,17
1686782915570,2023-06-14T15:48:35.570(UTC-07:00),-2705,5511,-7021,74,-186,12
1686782915581,2023-06-14T15:48:35.581(UTC-07:00),-2701,5503,-7005,58,-184,40
1686782915591,2023-06-14T15:48:35.591(UTC-07:00),-2676,5512,-6985,32,-183,34
1686782915602,2023-06-14T15:48:35.602(UTC-07:00),-2670,5497,-7012,13,-176,54
1686782915612,2023-06-14T15:48:35.612(UTC-07:00),-2657,5604,-7004,-23,-175,71
1686782915623,2023-06-14T15:48:35.623(UTC-07:00),-2676,5741,-7069,-43,-185,74
1686782915633,2023-06-14T15:48:35.633(UTC-07:00),-2738,5710,-7053,-29,-185,62
1686782915644,2023-06-14T15:48:35.644(UTC-07:00),-2720,5720,-7102,18,-180,30
1686782915654,2023-06-14T15:48:35.654(UTC-07:00),-2750,5769,-7104,62,-188,13
1686782915665,2023-06-14T15:48:35.665(UTC-07:00),-2719,5675,-7098,80,-198,-30
1686782915675,2023-06-14T15:48:35.675(UTC-07:00),-2726,5661,-7023,57,-208,-60
1686782915686,2023-06-14T15:48:35.686(UTC-07:00),-2758,5580,-7064,49,-212,-95
